/tmp/nix-shell.wI2XoQ/RenderDoc/textured_terrain_test_2026.09.17_11.30.41_frame10.rdc - Frame #10

 EID  | Event                                                                                                              | Action #
396   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 53    
398   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 54    
400   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 55    
402   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 56    
404   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 57    
406   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 58    
408   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 59    
410   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 60    
412   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 61    
414   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 62    
416   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 63    
418   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 64    
420   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 65    
422   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 66    
424   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 67    
426   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 68    
428   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 69    
430   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 70    
432   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 71    
434   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 72    
436   | - vkCmdCopyBuffer((wgpu internal) Staging, arena_chunk_meta_buffer)                                                | 73    
