/tmp/nix-shell.IFOJvY/RenderDoc/sphere_test_2026.08.29_17.33.31_frame4.rdc - Frame #4

 EID  | Event                                                                                                  | Action #
236   | - => vkQueueSubmit(82)[43]: vkBeginCommandBuffer(Baked Command Buffer 2097)                            | 33    
237   | - surface_nets_pass1                                                                                   |       
240   |  \- vkCmdDispatch(8, 8, 8)                                                                             | 33    
242   | - => vkQueueSubmit(82)[43]: vkEndCommandBuffer(Baked Command Buffer 2097)                              | 34    
243   | - => vkQueueSubmit(82)[44]: vkBeginCommandBuffer(Baked Command Buffer 2100)                            | 34    
245   | - => vkQueueSubmit(82)[44]: vkEndCommandBuffer(Baked Command Buffer 2100)                              | 34    
246   | - => vkQueueSubmit(82)[45]: vkBeginCommandBuffer(Baked Command Buffer 2099)                            | 34    
247   | - stream_compaction_scan                                                                               |       
250   |  \- vkCmdDispatch(64, 1, 1)                                                                            | 34    
252   | - => vkQueueSubmit(82)[45]: vkEndCommandBuffer(Baked Command Buffer 2099)                              | 35    
253   | - => vkQueueSubmit(82)[46]: vkBeginCommandBuffer(Baked Command Buffer 2102)                            | 35    
255   | - => vkQueueSubmit(82)[46]: vkEndCommandBuffer(Baked Command Buffer 2102)                              | 35    
256   | - => vkQueueSubmit(82)[47]: vkBeginCommandBuffer(Baked Command Buffer 2101)                            | 35    
257   | - stream_compaction_scan_block_sums                                                                    |       
260   |  \- vkCmdDispatch(1, 1, 1)                                                                             | 35    
262   | - => vkQueueSubmit(82)[47]: vkEndCommandBuffer(Baked Command Buffer 2101)                              | 36    
263   | - => vkQueueSubmit(82)[48]: vkBeginCommandBuffer(Baked Command Buffer 2104)                            | 36    
265   | - => vkQueueSubmit(82)[48]: vkEndCommandBuffer(Baked Command Buffer 2104)                              | 36    
266   | - => vkQueueSubmit(82)[49]: vkBeginCommandBuffer(Baked Command Buffer 2103)                            | 36    
267   | - stream_compaction_resolve                                                                            |       
270   |  \- vkCmdDispatch(64, 1, 1)                                                                            | 36    
272   | - => vkQueueSubmit(82)[49]: vkEndCommandBuffer(Baked Command Buffer 2103)                              | 37    
273   | - => vkQueueSubmit(82)[50]: vkBeginCommandBuffer(Baked Command Buffer 2138)                            | 37    
275   | - => vkQueueSubmit(82)[50]: vkEndCommandBuffer(Baked Command Buffer 2138)                              | 37    
276   | - => vkQueueSubmit(82)[51]: vkBeginCommandBuffer(Baked Command Buffer 2137)                            | 37    
277   | - surface_nets_pass3                                                                                   |       
280   |  \- vkCmdDispatch(4, 4, 4)                                                                             | 37    
282   | - => vkQueueSubmit(82)[51]: vkEndCommandBuffer(Baked Command Buffer 2137)                              | 38    
283   | - => vkQueueSubmit(82)[52]: vkBeginCommandBuffer(Baked Command Buffer 2140)                            | 38    
284   | - => vkQueueSubmit(82)[52]: vkEndCommandBuffer(Baked Command Buffer 2140)                              | 38    
285   | - => vkQueueSubmit(82)[53]: vkBeginCommandBuffer(Baked Command Buffer 2139)                            | 38    
286   | - surface_nets_pass1                                                                                   |       
289   |  \- vkCmdDispatch(8, 8, 8)                                                                             | 38    
291   | - => vkQueueSubmit(82)[53]: vkEndCommandBuffer(Baked Command Buffer 2139)                              | 39    
292   | - => vkQueueSubmit(82)[54]: vkBeginCommandBuffer(Baked Command Buffer 2142)                            | 39    
294   | - => vkQueueSubmit(82)[54]: vkEndCommandBuffer(Baked Command Buffer 2142)                              | 39    
295   | - => vkQueueSubmit(82)[55]: vkBeginCommandBuffer(Baked Command Buffer 2141)                            | 39    
296   | - stream_compaction_scan                                                                               |       
299   |  \- vkCmdDispatch(64, 1, 1)                                                                            | 39    
301   | - => vkQueueSubmit(82)[55]: vkEndCommandBuffer(Baked Command Buffer 2141)                              | 40    
302   | - => vkQueueSubmit(82)[56]: vkBeginCommandBuffer(Baked Command Buffer 2144)                            | 40    
304   | - => vkQueueSubmit(82)[56]: vkEndCommandBuffer(Baked Command Buffer 2144)                              | 40    
305   | - => vkQueueSubmit(82)[57]: vkBeginCommandBuffer(Baked Command Buffer 2143)                            | 40    
306   | - stream_compaction_scan_block_sums                                                                    |       
309   |  \- vkCmdDispatch(1, 1, 1)                                                                             | 40    
311   | - => vkQueueSubmit(82)[57]: vkEndCommandBuffer(Baked Command Buffer 2143)                              | 41    
312   | - => vkQueueSubmit(82)[58]: vkBeginCommandBuffer(Baked Command Buffer 2146)                            | 41    
314   | - => vkQueueSubmit(82)[58]: vkEndCommandBuffer(Baked Command Buffer 2146)                              | 41    
315   | - => vkQueueSubmit(82)[59]: vkBeginCommandBuffer(Baked Command Buffer 2145)                            | 41    
316   | - stream_compaction_resolve                                                                            |       
319   |  \- vkCmdDispatch(64, 1, 1)                                                                            | 41    
321   | - => vkQueueSubmit(82)[59]: vkEndCommandBuffer(Baked Command Buffer 2145)                              | 42    
322   | - => vkQueueSubmit(82)[60]: vkBeginCommandBuffer(Baked Command Buffer 2148)                            | 42    
324   | - => vkQueueSubmit(82)[60]: vkEndCommandBuffer(Baked Command Buffer 2148)                              | 42    
325   | - => vkQueueSubmit(82)[61]: vkBeginCommandBuffer(Baked Command Buffer 2147)                            | 42    
326   | - surface_nets_pass3                                                                                   |       
329   |  \- vkCmdDispatch(4, 4, 4)                                                                             | 42    
331   | - => vkQueueSubmit(82)[61]: vkEndCommandBuffer(Baked Command Buffer 2147)                              | 43    
332   | - => vkQueueSubmit(82)[62]: vkBeginCommandBuffer(Baked Command Buffer 2150)                            | 43    
333   | - => vkQueueSubmit(82)[62]: vkEndCommandBuffer(Baked Command Buffer 2150)                              | 43    
334   | - => vkQueueSubmit(82)[63]: vkBeginCommandBuffer(Baked Command Buffer 2149)                            | 43    
335   | - surface_nets_pass1                                                                                   |       
338   |  \- vkCmdDispatch(8, 8, 8)                                                                             | 43    
340   | - => vkQueueSubmit(82)[63]: vkEndCommandBuffer(Baked Command Buffer 2149)                              | 44    
341   | - => vkQueueSubmit(82)[64]: vkBeginCommandBuffer(Baked Command Buffer 2152)                            | 44    
343   | - => vkQueueSubmit(82)[64]: vkEndCommandBuffer(Baked Command Buffer 2152)                              | 44    
344   | - => vkQueueSubmit(82)[65]: vkBeginCommandBuffer(Baked Command Buffer 2151)                            | 44    
345   | - stream_compaction_scan                                                                               |       
348   |  \- vkCmdDispatch(64, 1, 1)                                                                            | 44    
350   | - => vkQueueSubmit(82)[65]: vkEndCommandBuffer(Baked Command Buffer 2151)                              | 45    
351   | - => vkQueueSubmit(82)[66]: vkBeginCommandBuffer(Baked Command Buffer 2186)                            | 45    
353   | - => vkQueueSubmit(82)[66]: vkEndCommandBuffer(Baked Command Buffer 2186)                              | 45    
354   | - => vkQueueSubmit(82)[67]: vkBeginCommandBuffer(Baked Command Buffer 2185)                            | 45    
355   | - stream_compaction_scan_block_sums                                                                    |       
358   |  \- vkCmdDispatch(1, 1, 1)                                                                             | 45    
360   | - => vkQueueSubmit(82)[67]: vkEndCommandBuffer(Baked Command Buffer 2185)                              | 46    
361   | - => vkQueueSubmit(82)[68]: vkBeginCommandBuffer(Baked Command Buffer 2188)                            | 46    
363   | - => vkQueueSubmit(82)[68]: vkEndCommandBuffer(Baked Command Buffer 2188)                              | 46    
364   | - => vkQueueSubmit(82)[69]: vkBeginCommandBuffer(Baked Command Buffer 2187)                            | 46    
365   | - stream_compaction_resolve                                                                            |       
368   |  \- vkCmdDispatch(64, 1, 1)                                                                            | 46    
370   | - => vkQueueSubmit(82)[69]: vkEndCommandBuffer(Baked Command Buffer 2187)                              | 47    
371   | - => vkQueueSubmit(82)[70]: vkBeginCommandBuffer(Baked Command Buffer 2190)                            | 47    
373   | - => vkQueueSubmit(82)[70]: vkEndCommandBuffer(Baked Command Buffer 2190)                              | 47    
374   | - => vkQueueSubmit(82)[71]: vkBeginCommandBuffer(Baked Command Buffer 2189)                            | 47    
375   | - surface_nets_pass3                                                                                   |       
378   |  \- vkCmdDispatch(4, 4, 4)                                                                             | 47    
380   | - => vkQueueSubmit(82)[71]: vkEndCommandBuffer(Baked Command Buffer 2189)                              | 48    
381   | - => vkQueueSubmit(82)[72]: vkBeginCommandBuffer(Baked Command Buffer 2192)                            | 48    
382   | - => vkQueueSubmit(82)[72]: vkEndCommandBuffer(Baked Command Buffer 2192)                              | 48    
383   | - => vkQueueSubmit(82)[73]: vkBeginCommandBuffer(Baked Command Buffer 2191)                            | 48    
384   | - surface_nets_pass1                                                                                   |       
387   |  \- vkCmdDispatch(8, 8, 8)                                                                             | 48    
389   | - => vkQueueSubmit(82)[73]: vkEndCommandBuffer(Baked Command Buffer 2191)                              | 49    
390   | - => vkQueueSubmit(82)[74]: vkBeginCommandBuffer(Baked Command Buffer 2194)                            | 49    
392   | - => vkQueueSubmit(82)[74]: vkEndCommandBuffer(Baked Command Buffer 2194)                              | 49    
393   | - => vkQueueSubmit(82)[75]: vkBeginCommandBuffer(Baked Command Buffer 2193)                            | 49    
394   | - stream_compaction_scan                                                                               |       
397   |  \- vkCmdDispatch(64, 1, 1)                                                                            | 49    
399   | - => vkQueueSubmit(82)[75]: vkEndCommandBuffer(Baked Command Buffer 2193)                              | 50    
400   | - => vkQueueSubmit(82)[76]: vkBeginCommandBuffer(Baked Command Buffer 2196)                            | 50    
402   | - => vkQueueSubmit(82)[76]: vkEndCommandBuffer(Baked Command Buffer 2196)                              | 50    
403   | - => vkQueueSubmit(82)[77]: vkBeginCommandBuffer(Baked Command Buffer 2195)                            | 50    
404   | - stream_compaction_scan_block_sums                                                                    |       
407   |  \- vkCmdDispatch(1, 1, 1)                                                                             | 50    
409   | - => vkQueueSubmit(82)[77]: vkEndCommandBuffer(Baked Command Buffer 2195)                              | 51    
410   | - => vkQueueSubmit(82)[78]: vkBeginCommandBuffer(Baked Command Buffer 2198)                            | 51    
412   | - => vkQueueSubmit(82)[78]: vkEndCommandBuffer(Baked Command Buffer 2198)                              | 51    
413   | - => vkQueueSubmit(82)[79]: vkBeginCommandBuffer(Baked Command Buffer 2197)                            | 51    
414   | - stream_compaction_resolve                                                                            |       
417   |  \- vkCmdDispatch(64, 1, 1)                                                                            | 51    
419   | - => vkQueueSubmit(82)[79]: vkEndCommandBuffer(Baked Command Buffer 2197)                              | 52    
420   | - => vkQueueSubmit(82)[80]: vkBeginCommandBuffer(Baked Command Buffer 2200)                            | 52    
422   | - => vkQueueSubmit(82)[80]: vkEndCommandBuffer(Baked Command Buffer 2200)                              | 52    
423   | - => vkQueueSubmit(82)[81]: vkBeginCommandBuffer(Baked Command Buffer 2199)                            | 52    
424   | - surface_nets_pass3                                                                                   |       
427   |  \- vkCmdDispatch(4, 4, 4)                                                                             | 52    
429   | - => vkQueueSubmit(82)[81]: vkEndCommandBuffer(Baked Command Buffer 2199)                              | 53    
458   | - => vkQueueSubmit(33)[0]: vkBeginCommandBuffer(Baked Command Buffer 2234)                             | 53    
461   | - vkCmdCopyBufferToImage((wgpu internal) Staging, chunk_sdf_texture)                                   | 53    
463   | - vkCmdCopyBuffer((wgpu internal) Staging, chunk_indirect_args_buffer)                                 | 54    
466   | - vkCmdCopyBufferToImage((wgpu internal) Staging, chunk_sdf_texture)                                   | 55    
468   | - vkCmdCopyBuffer((wgpu internal) Staging, chunk_indirect_args_buffer)                                 | 56    
471   | - vkCmdCopyBufferToImage((wgpu internal) Staging, chunk_sdf_texture)                                   | 57    
473   | - vkCmdCopyBuffer((wgpu internal) Staging, chunk_indirect_args_buffer)                                 | 58    
476   | - vkCmdCopyBufferToImage((wgpu internal) Staging, chunk_sdf_texture)                                   | 59    
478   | - vkCmdCopyBuffer((wgpu internal) Staging, chunk_indirect_args_buffer)                                 | 60    
481   | - vkCmdCopyBufferToImage((wgpu internal) Staging, chunk_sdf_texture)                                   | 61    
483   | - vkCmdCopyBuffer((wgpu internal) Staging, chunk_indirect_args_buffer)                                 | 62    
486   | - vkCmdCopyBufferToImage((wgpu internal) Staging, chunk_sdf_texture)                                   | 63    
488   | - vkCmdCopyBuffer((wgpu internal) Staging, chunk_indirect_args_buffer)                                 | 64    
491   | - vkCmdCopyBufferToImage((wgpu internal) Staging, chunk_sdf_texture)                                   | 65    
493   | - vkCmdCopyBuffer((wgpu internal) Staging, chunk_indirect_args_buffer)                                 | 66    
496   | - vkCmdCopyBufferToImage((wgpu internal) Staging, chunk_sdf_texture)                                   | 67    
498   | - vkCmdCopyBuffer((wgpu internal) Staging, chunk_indirect_args_buffer)                                 | 68    
500   | - vkCmdCopyBuffer((wgpu internal) Staging, Buffer 583)                                                 | 69    
502   | - vkCmdCopyBuffer((wgpu internal) Staging, Buffer 586)                                                 | 70    
504   | - vkCmdCopyBuffer((wgpu internal) Staging, Buffer 585)                                                 | 71    
506   | - vkCmdCopyBuffer((wgpu internal) Staging, view_uniforms_buffer)                                       | 72    
508   | - vkCmdCopyBuffer((wgpu internal) Staging, Buffer 589)                                                 | 73    
510   | - vkCmdCopyBuffer((wgpu internal) Staging, Buffer 591)                                                 | 74    
512   | - vkCmdCopyBuffer((wgpu internal) Staging, Buffer 2257)                                                | 75    
514   | - vkCmdCopyBuffer((wgpu internal) Staging, Buffer 2259)                                                | 76    
516   | - vkCmdCopyBuffer((wgpu internal) Staging, clustering Z slicing metadata buffer)                       | 77    
518   | - vkCmdCopyBuffer((wgpu internal) Staging, previous instance input uniform buffer)                     | 78    
519   | - => vkQueueSubmit(33)[0]: vkEndCommandBuffer(Baked Command Buffer 2234)                               | 79    
520   | - => vkQueueSubmit(33)[1]: vkBeginCommandBuffer(Baked Command Buffer 2328)                             | 79    
522   | - vkCmdFillBuffer(Buffer 2261, 0)                                                                      | 79    
524   | - vkCmdFillBuffer(Buffer 2266, 0)                                                                      | 80    
527   | - => vkQueueSubmit(33)[1]: vkEndCommandBuffer(Baked Command Buffer 2328)                               | 81    
528   | - => vkQueueSubmit(33)[2]: vkBeginCommandBuffer(Baked Command Buffer 2291)                             | 81    
529   | - clustering                                                                                           | 81-90 
530   |  \- => vkQueueSubmit(33)[2]: vkEndCommandBuffer(Baked Command Buffer 2291)                             | 81    
531   |   - => vkQueueSubmit(33)[3]: vkBeginCommandBuffer(Baked Command Buffer 2293)                           | 81    
532   |   - => vkQueueSubmit(33)[3]: vkEndCommandBuffer(Baked Command Buffer 2293)                             | 81    
533   |   - => vkQueueSubmit(33)[4]: vkBeginCommandBuffer(Baked Command Buffer 2292)                           | 81    
534   |   - clustering Z slicing pass                                                                          |       
537   |    \- vkCmdDispatch(1, 1, 1)                                                                           | 81    
539   |   - => vkQueueSubmit(33)[4]: vkEndCommandBuffer(Baked Command Buffer 2292)                             | 82    
540   |   - => vkQueueSubmit(33)[5]: vkBeginCommandBuffer(Baked Command Buffer 2297)                           | 82    
